"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: sizes"
"dotty.tools.benchmarks.tuples.Concat.arrayConcat","avgt",1,20,48.213797,2.416549,"ns/op","30 25"
"dotty.tools.benchmarks.tuples.Concat.arrayConcat","avgt",1,20,49.747754,2.456569,"ns/op","30 30"
"dotty.tools.benchmarks.tuples.Concat.tupleConcat","avgt",1,20,3.304691,0.007097,"ns/op","0 0"
"dotty.tools.benchmarks.tuples.Concat.tupleConcat","avgt",1,20,47.543050,1.662572,"ns/op","0 5"
"dotty.tools.benchmarks.tuples.Concat.tupleConcat","avgt",1,20,62.462817,1.743626,"ns/op","0 10"
"dotty.tools.benchmarks.tuples.Concat.tupleConcat","avgt",1,20,79.904105,3.126568,"ns/op","0 15"
"dotty.tools.benchmarks.tuples.Concat.tupleConcat","avgt",1,20,101.344998,3.555549,"ns/op","0 20"
"dotty.tools.benchmarks.tuples.Concat.tupleConcat","avgt",1,20,59.063976,2.283685,"ns/op","0 25"
"dotty.tools.benchmarks.tuples.Concat.tupleConcat","avgt",1,20,63.392042,2.709558,"ns/op","0 30"
"dotty.tools.benchmarks.tuples.Concat.tupleConcat","avgt",1,20,3.317980,0.020179,"ns/op","5 0"
"dotty.tools.benchmarks.tuples.Concat.tupleConcat","avgt",1,20,47.378968,1.532791,"ns/op","5 5"
"dotty.tools.benchmarks.tuples.Concat.tupleConcat","avgt",1,20,123.313153,4.442324,"ns/op","5 10"
"dotty.tools.benchmarks.tuples.Concat.tupleConcat","avgt",1,20,136.692050,5.550220,"ns/op","5 15"
"dotty.tools.benchmarks.tuples.Concat.tupleConcat","avgt",1,20,158.265492,5.657457,"ns/op","5 20"
"dotty.tools.benchmarks.tuples.Concat.tupleConcat","avgt",1,20,73.651463,3.240342,"ns/op","5 25"
"dotty.tools.benchmarks.tuples.Concat.tupleConcat","avgt",1,20,77.594386,3.172696,"ns/op","5 30"
"dotty.tools.benchmarks.tuples.Concat.tupleConcat","avgt",1,20,3.322615,0.022144,"ns/op","10 0"
"dotty.tools.benchmarks.tuples.Concat.tupleConcat","avgt",1,20,118.205921,5.312860,"ns/op","10 5"
"dotty.tools.benchmarks.tuples.Concat.tupleConcat","avgt",1,20,88.383479,3.147018,"ns/op","10 10"
"dotty.tools.benchmarks.tuples.Concat.tupleConcat","avgt",1,20,149.609022,6.238933,"ns/op","10 15"
"dotty.tools.benchmarks.tuples.Concat.tupleConcat","avgt",1,20,183.818928,6.719115,"ns/op","10 20"
"dotty.tools.benchmarks.tuples.Concat.tupleConcat","avgt",1,20,91.901040,2.109444,"ns/op","10 25"
"dotty.tools.benchmarks.tuples.Concat.tupleConcat","avgt",1,20,94.624579,3.655768,"ns/op","10 30"
"dotty.tools.benchmarks.tuples.Concat.tupleConcat","avgt",1,20,3.315289,0.018805,"ns/op","15 0"
"dotty.tools.benchmarks.tuples.Concat.tupleConcat","avgt",1,20,135.598326,5.364097,"ns/op","15 5"
"dotty.tools.benchmarks.tuples.Concat.tupleConcat","avgt",1,20,142.985946,5.606795,"ns/op","15 10"
"dotty.tools.benchmarks.tuples.Concat.tupleConcat","avgt",1,20,112.257985,4.611035,"ns/op","15 15"
"dotty.tools.benchmarks.tuples.Concat.tupleConcat","avgt",1,20,273.191448,8.190918,"ns/op","15 20"
"dotty.tools.benchmarks.tuples.Concat.tupleConcat","avgt",1,20,141.724634,4.793305,"ns/op","15 25"
"dotty.tools.benchmarks.tuples.Concat.tupleConcat","avgt",1,20,147.844540,6.074874,"ns/op","15 30"
"dotty.tools.benchmarks.tuples.Concat.tupleConcat","avgt",1,20,3.311072,0.014647,"ns/op","20 0"
"dotty.tools.benchmarks.tuples.Concat.tupleConcat","avgt",1,20,147.014190,5.872156,"ns/op","20 5"
"dotty.tools.benchmarks.tuples.Concat.tupleConcat","avgt",1,20,166.750133,6.565463,"ns/op","20 10"
"dotty.tools.benchmarks.tuples.Concat.tupleConcat","avgt",1,20,171.776098,1.679049,"ns/op","20 15"
"dotty.tools.benchmarks.tuples.Concat.tupleConcat","avgt",1,20,169.323782,5.904121,"ns/op","20 20"
"dotty.tools.benchmarks.tuples.Concat.tupleConcat","avgt",1,20,172.999232,3.614311,"ns/op","20 25"
"dotty.tools.benchmarks.tuples.Concat.tupleConcat","avgt",1,20,175.851694,7.167824,"ns/op","20 30"
